"province","city","cityType","GDP","POP","lon","lat"
"广东","佛山市","地级市","9549.6","388.97","113.11","23.05"
"广东","江门市","地级市","2690.25","451.95","113.06","22.61"
"广东","湛江市","地级市","2824.03","724.14","110.35894","21.27134"
"广东","茂名市","地级市","2924.21","608.08","110.88","21.68"
"广东","肇庆市","地级市","2200.61","405.96","112.44","23.05"
"广东","惠州市","地级市","3830.58","475.55","114.4","23.09"
"广东","梅州市","地级市","1125.82","434.08","116.1","24.55"
"广东","汕尾市","地级市","855.37","302.16","115.37514","22.78566"
"广东","河源市","地级市","952.12","307.35","114.68","23.73"
"广东","阳江市","地级市","1408.63","251.12","111.95","21.85"
"广东","清远市","地级市","1500.9","383.45","113.01","23.7"
"广东","东莞市","地级市","7582.12","825.41","113.75","23.04"
"广东","中山市","地级市","3450.31","320.96","113.38","22.52"
"广东","潮州市","地级市","1074.07","264.05","116.63","23.68"
"广东","揭阳市","地级市","2151.43","605.89","116.35","23.55"
"广西","南宁市","地级市","4118.83","666.16","108.33","22.84"
"广西","柳州市","地级市","2755.64","375.87","109.4","24.33"
"广西","桂林市","地级市","2045.18","474.8","110.28","25.29"
"广西","梧州市","地级市","1338.1","288.22","111.34","23.51"
"广西","北海市","地级市","1229.84","153.93","109.12","21.49"
"广西","钦州市","地级市","1309.82","307.97","108.61","21.96"
"广西","贵港市","地级市","1082.18","411.88","109.59764","23.11306"
"广西","玉林市","地级市","1699.54","548.74","110.14","22.64"
"广西","来宾市","地级市","663.69","199.43","109.24","23.76"
"广西","百色市","地级市","1361.76","346.68","106.62","23.91"
"广西","崇左市","地级市","907.62","199.43","107.37","22.42"
"广西","贺州市","地级市","548.83","195.41","111.56655","24.40346"
"广西","河池市","地级市","734.6","336.92","108.06","24.7"
"广西","防城港市","地级市","741.62","86.69","108.35472","21.68713"
"海南","海口市","地级市","1390.48","227.21","110.35","20.02"
"海南","儋州市","地级市","288.04","104","109.58069","19.52093"
"海南","三亚市","地级市","529.25","68.54","109.51209","18.25248"
"重庆","重庆市","直辖市","19500.27","2884.62","106.54","29.59"
"四川","成都市","副省级市","13889.39","1591.76","104.06","30.67"
"四川","自贡市","地级市","1312.07","278.08","104.77844","29.3392"
"四川","攀枝花市","地级市","1144.25","123.56","101.71872","26.58228"
"四川","泸州市","地级市","1596.21","430.64","105.39","28.91"
"四川","德阳市","地级市","1960.55","351.97","104.37","31.13"
"四川","绵阳市","地级市","2074.75","481.09","104.73","31.48"
"四川","广元市","地级市","732.12","263.5","105.84357","32.43549"
"四川","遂宁市","地级市","1138.06","329.8","105.58","30.52"
"四川","内江市","地级市","1332.09","374.66","105.04","29.59"
"四川","乐山市","地级市","1507.79","326.5","103.76539","29.55221"
"四川","南充市","地级市","1827.93","640.22","106.11073","30.83731"
"四川","眉山市","地级市","1183.35","300.09","103.84851","30.07563"
"四川","宜宾市","地级市","1847.23","451","104.56","29.77"
"四川","广安市","地级市","1173.79","326.47","106.61","30.48"
"四川","达州市","地级市","1583.94","559.77","107.46791","31.20864"
"四川","巴中市","地级市","601.44","331.14","106.73","31.86"
"四川","雅安市","地级市","602.77","153.97","102.97","29.97"
"四川","资阳市","地级市","1022.21","254.05","104.6","30.19"
"四川","阿坝州","自治州","295.16","93.46","101.72","31.93"
"四川","甘孜州","自治州","261.5","118.05","99.96","31.64"
"四川","凉山州","自治州","1480.91","482.22","102.26746","27.88164"
"贵州","贵阳市","地级市","3537.96","462.18","106.71","26.57"
"贵州","六盘水市","地级市","1461.71","288.99","104.82","26.58"
"贵州","遵义市","地级市","2748.59","619.21","106.9","27.7"
"贵州","毕节市","地级市","1841.61","660.61","105.29","27.32"
"贵州","铜仁市","地级市","969.86","312.24","109.21","27.73"
"贵州","黔西南州","自治州","1067.6","282.16","104.90437","25.08988"
"贵州","黔东南州","自治州","972.18","348.54","107.98416","26.58364"
"贵州","黔南州","自治州","1160.59","324.22","107.52226","26.25427"
"贵州","安顺市","地级市","802.46","231.35","105.9462","26.25367"
"云南","昆明市","地级市","4857.64","667","102.73","25.04"
"云南","曲靖市","地级市","1941.12","604.2","103.79","25.51"
"云南","玉溪市","地级市","1415.14","236","102.52","24.35"
"云南","保山市","地级市","678.94","257.8","99.16181","25.11205"
"云南","昭通市","地级市","832.45","542.4","103.7","29.32"
"云南","丽江市","地级市","339.48","127.9","100.25","26.86"
"云南","普洱市","地级市","624.59","260.2","101.03","23.07"
"云南","临沧市","地级市","604.06","250.7","100.08884","23.88426"
"云南","文山州","自治州","809.11","360.3","104.24","23.37"
"云南","红河州","自治州","1478.57","464.5","102.42","23.35"
"云南","西双版纳州","自治州","393.84","116.3","100.79739","22.00749"
"云南","楚雄州","自治州","937.37","273","101.54","25.01"
"云南","大理州","自治州","1066.55","354","100.19","25.69"
"云南","德宏州","自治州","356.97","127.7","98.58486","24.43232"
"云南","怒江州","自治州","198.65","54.1","98.8567","25.81763"
"云南","迪庆州","自治州","141.5","40.7","99.70305","27.81908"
"陕西","西安市","副省级市","7469.85","807","108.95","34.27"
"陕西","铜川市","地级市","348.59","83","109.11","35.09"
"陕西","宝鸡市","地级市","2179.81","376","107.15","34.38"
"陕西","咸阳市","地级市","2340.66","498","108.72","34.36"
"陕西","渭南市","地级市","1656.62","547","109.5","34.52"
"陕西","延安市","地级市","1266.39","212","109.47","36.6"
"陕西","汉中市","地级市","1333.3","348","108.04","33.07"
"陕西","榆林市","地级市","3318.39","330","109.77","38.3"
"陕西","安康市","地级市","974.66","265","109.02","32.7"
"陕西","商洛市","地级市","800.76","238","109.94041","33.87036"
"甘肃","兰州市","地级市","2523.54","361.6163","103.73","36.03"
"甘肃","嘉峪关市","地级市","210.99","23.1853","98.29011","39.77201"
"甘肃","金昌市","地级市","224.29","46.405","102.18759","38.52006"
"甘肃","白银市","地级市","449.89","170.8751","104.13773","36.5447"
"甘肃","天水市","地级市","614.96","326.2548","105.69","34.6"
"甘肃","酒泉市","地级市","580.27","109.5947","98.5","39.71"
"甘肃","张掖市","地级市","404.14","119.9515","100.46","38.93"
"甘肃","武威市","地级市","439.58","181.5054","102.61","37.94"
"甘肃","定西市","地级市","347.12","269.8622","104.57","35.57"
"甘肃","陇南市","地级市","355.28","256.7718","104.92667","33.39189"
"甘肃","平凉市","地级市","388.91","206.8033","106.68","35.51"
"甘肃","庆阳市","地级市","618.97","221.1191","107.88","36.03"
"甘肃","临夏州","自治州","238.84","194.6677","103.22","35.62"
"甘肃","甘南州","自治州","136.59","68.01","123.48","47.9"
"青海","西宁市","地级市","1284.91","235.5","101.74","36.56"
"青海","海东市","地级市","436.04","147.08","102.40173","36.48209"
"青海","海北州","自治州","100.67","28.3","100.90096","36.95454"
"青海","黄南州","自治州","74.65","27","102.01507","35.51991"
"青海","海南州","自治州","147","46.6","100.62037","36.28663"
"青海","果洛州","自治州","37.27","20.37","100.24475","34.47141"
"青海","玉树州","自治州","61.48","40.95","96.97","33.03"
"青海","海西州","自治州","526.2","51.52","95.3621","37.85044"
"宁夏","银川市","地级市","1803.17","219.11","106.27","38.47"
"宁夏","石嘴山市","地级市","534.98","79.51","106.39","39.04"
"宁夏","吴忠市","地级市","580.1","138.86","106.21","37.99"
"宁夏","固原市","地级市","270","122.04","106.28","36.01"
"宁夏","中卫市","地级市","370","115.38","105.18","37.51"
"新疆","乌鲁木齐市","地级市","2700","351.96","87.68","43.77"
"新疆","克拉玛依市","地级市","720","41.78","84.77","45.59"
"新疆","吐鲁番市","地级市","225.1","63.3","89.19","42.91"
"新疆","哈密市","地级市","461.06","61.97","93.44","42.78"
"西藏","拉萨市","地级市","424.95","55","91.11","29.97"
